winner,winby
0.41,1.4700000003833877
0.4,1.3002858652662903
0.43,1.3839131936450917
0.31,1.593712669621798
0.41,1.2475549285509646
0.39,1.234504426762565
0.45,1.2628630142995374
0.53,1.2175262655673056
0.15,1.254943615768428
0.54,1.1878571461548195
0.71,1.4872248227099802
0.48,1.4248896939028084
0.45,1.4404925060907379
0.54,1.3298278271571469
0.42,1.7068159052222476
0.54,1.2683178827294541
0.55,1.342682043575134
0.57,1.267163403962976
0.43,1.4960843381800915
0.56,1.3357028799090775
0.59,1.237366714209382
0.5,1.1533161244887737
0.72,1.561626270122188
0.49,1.3484832391725123
0.41,1.1943904060230686
0.52,1.3429507909749725
0.45,1.338668082433472
0.4,1.2738022182803541
0.39,1.267485551933437
0.5,1.3248965799884385
0.49,1.2644809133131385
0.41,1.2347560098473433
0.5,1.110742291745944
0.35,1.3027274893738745
0.51,1.347610631782259
0.47,1.4064688227605253
0.46,1.2188119124745376
0.62,1.3315055656992674
0.47,1.3290665848423464
0.27,1.1566659688421757
0.5,1.3196388638909908
0.44,1.5381946336539445
0.56,1.5467063393499967
0.44,1.1878287968371417
0.47,1.331941014067408
0.49,1.313396850028312
0.39,1.27093661805303
0.3,1.2449583196689336
0.46,1.5910659008588728
0.43,1.3846980310823898
0.52,1.6500048818004402
0.92,2.7218731015274065
0.47,1.372368717739956
0.47,1.4622621365837563
0.37,1.0539372913942153
0.57,1.411513796149288
0.32,1.2092722255207524
0.5,1.2359618075080914
0.3,1.4874637105893178
0.2,1.2974220244299846
0.41,1.328879182209733
0.46,1.5676309141340148
0.47,1.3209373562651177
0.46,1.3644561046195003
0.36,1.3099852083971848
0.39,1.2562695704400904
0.49,1.348306453069788
0.43,1.2356004714439177
0.44,1.5557001583497307
0.64,1.7537457248555306
0.63,1.2896580204623367
0.33,1.4439707062078064
0.61,1.5891330061800384
0.39,1.2483597685022318
0.59,2.2906971527973816
0.44,1.2636509610471087
0.38,1.3266501385821765
0.32,1.2475762587871073
0.52,1.537803697292346
0.43,1.316958965871327
0.64,1.368841456058157
0.63,1.5638197749471958
0.55,1.3008159170235056
0.47,1.3142686717063672
0.43,1.3413661161034114
0.57,1.2180912287909988
0.54,1.225722444861648
0.58,1.2999250774936324
0.55,1.2131847346690778
0.55,1.5696756855416105
0.51,1.1275827872142252
0.47,1.3764219113366207
0.35,1.3295321706458316
0.51,1.4279824681422373
0.45,1.1888525207810934
0.35,1.2425665857492896
0.44,1.2527351956386907
0.56,1.596262175194821
0.43,1.2334707098837843
0.52,1.429712591872845
0.4,0.9709309519786729
0.49,1.2045240851211716
0.58,1.3354898660876435
0.44,1.2775289415301467
0.53,1.1467221314504938
0.48,1.285677267581307
0.46,1.2392031979866787
0.41,1.2735010687585138
0.45,1.0266376473594458
0.36,1.2428462680210155
0.38,1.0711840024373964
0.47,1.3311236725913542
0.46,1.1975561507686914
0.49,1.2592198926391782
0.43,1.229229346089791
0.6,1.3873838954248503
0.46,1.2758511084364317
0.53,1.2851334425277432
0.47,1.2992998913755558
0.44,1.2599265965937387
0.65,1.2919718231114619
0.48,1.3337803379577877
0.6,1.3436004931039625
0.41,1.2179976510016652
0.58,1.220790795684972
0.35,1.2829120007161985
0.48,1.1881362426742066
0.41,1.245196503269028
0.36,1.1243265039203343
0.39,1.2192637068737835
0.45,1.4023877292298987
0.4,1.3292426130092978
0.33,1.30030830581427
0.53,1.7196674782550032
0.58,1.3535010242588954
0.53,1.3076166387748491
0.53,1.1900141065686247
0.35,1.3017006415361436
0.27,2.1572450002729147
0.48,1.1175304667489951
0.38,1.2147072299366284
0.53,1.3559679929735746
0.45,1.261105030230754
0.39,1.1328215243535533
0.58,1.6491194687599482
0.45,1.2151358359388604
0.46,1.2372058215540507
0.53,1.4501244223561256
0.48,1.3245915583319545
0.51,1.158497287124789
0.44,1.2818959661727243
0.47,1.5244828261537318
0.16,1.2912501725595633
0.32,1.5616502476851648
0.52,1.3506912845543404
0.48,2.791184864327727
0.48,1.373900227033958
0.45,1.3075299443662343
0.42,1.342496798702625
0.43,1.268930837197685
