winner,winby
0.884042,1
0.30872074,1
0.35116854,1
0.32558462,1
0.30845493,1
0.26347512,1
0.5435862,1
0.28787598,1
0.44446582,1
0.31533593,1
0.5275463,1
0.31546682,1
0.60587054,1
0.5794348,1
0.62279975,1
0.3410408,1
0.18779148,1
0.58812803,1
0.12441699,1
0.67973816,1
0.5197131,1
0.40491122,1
0.21235622,1
0.36746722,1
0.2812579,1
0.5795071,1
0.45036548,1
0.44205493,1
0.64749974,1
0.22282945,1
0.095270105,1
0.20096442,1
0.44137508,1
0.11339747,1
0.37497702,1
0.41239384,1
0.5807902,1
0.6923438,1
0.43014494,1
0.32864684,1
0.1795758,1
0.36016092,1
0.3246469,1
0.1935214,1
0.6803002,1
0.6928068,1
0.5156512,1
0.20793758,1
0.63989896,1
0.19343492,1
0.21285845,1
0.5330966,1
0.5663388,1
0.5249631,1
0.32924846,1
0.45435917,1
0.844293,1
0.45162457,1
0.38902694,1
0.5416521,1
0.5714459,1
0.47400334,1
0.66729105,1
0.5311384,1
0.49528632,1
0.18340392,1
0.32870257,1
0.22642562,1
0.87309325,1
0.39014652,1
0.637605,1
0.8378534,1
0.33481687,1
0.6567959,1
0.6300379,1
0.15206368,1
0.45732123,1
0.24701905,1
0.21364819,1
0.3356921,1
0.47383207,1
0.3576598,1
0.1276619,1
0.6621752,1
0.324746,1
0.43308127,1
0.53543305,1
0.3360728,1
0.3890657,1
0.4966827,1
0.38929152,1
0.49584043,1
0.27251354,1
0.54315835,1
0.36376223,1
0.6334698,1
0.43224415,1
0.42532703,1
0.48097008,1
0.1729721,1
0.37200013,1
0.406278,1
0.33376962,1
0.63673323,1
0.8331412,1
0.50978357,1
0.40366814,1
0.46143207,1
0.42057478,1
0.78995353,1
0.44600067,1
0.3072673,1
0.57593524,1
0.25531903,1
0.26661772,1
0.13452172,1
0.32894304,1
0.4498539,1
0.34643313,1
0.5160083,1
0.6644236,1
0.25446427,1
0.5100346,1
0.5240199,1
0.23348068,1
0.12749647,1
0.59369457,1
0.681873,1
0.38262948,1
0.5374696,1
0.32850075,1
0.8464284,1
0.6073204,1
0.55596423,1
0.45853058,1
0.5526022,1
0.44537678,1
0.40301758,1
0.7837184,1
0.22172529,1
0.30615854,1
